,sold_quantity
112151,0.0
128549,0.0
5777,1.6
158018,0.2
75564,0.0
127405,0.0
18773,0.0
26121,0.037000000000000005
17381,0.0
14581,3.35
60405,0.0
151226,0.0
23075,0.55
164753,0.0
138194,0.0
65119,0.0
101346,8.0
91343,0.0
132949,0.6
74128,3.3
131293,0.0
150657,0.35
50619,1.0
109496,0.35
50672,0.0
112405,0.7
34303,0.4
56706,1.4
113725,0.0
21610,0.0
101717,0.0
144417,1.97
32338,0.0
18833,0.0
81894,0.05
89803,0.0
87400,0.3
97831,0.25
79414,0.0
95561,0.0
143591,0.0
6245,0.1
19478,0.1
8922,0.2
71086,0.0
133776,0.25
38154,3.7
43608,0.0
48070,5.0
157804,0.0
45317,8.7
5800,0.3
124872,0.0
73574,0.0
2926,0.0
110958,0.5
102610,4.2
22334,0.4
88708,0.1
96179,0.0
86322,0.0
58045,0.15
103409,0.0
31263,0.6
54865,0.0
4878,0.0
165897,0.0
86275,0.0
13313,0.0
106139,11.25
97308,0.0
10924,0.0
15780,0.95
162448,0.0
33851,2.45
33196,1.5
127307,0.05
83881,0.0
87146,4.7
129425,0.25
147565,0.0
92266,9.35
109817,0.0
52113,0.05
41832,0.0
16955,0.55
80753,0.0
132407,0.0
161937,0.0
34940,0.0
117024,0.0
141919,0.0
60489,2.6
42188,0.0
11808,0.0
142664,2.5
44230,0.0
115773,0.25
60803,0.0
73900,1.35
84377,1.0
43823,0.05
24213,0.0
134313,0.0
46601,0.0
58478,2.5
5258,0.0
79556,4.75
56282,0.25
101718,0.0
108431,13.9
38020,0.55
121922,0.0
63877,0.0
165534,0.0
87995,0.0
147183,0.0
115036,0.1
164775,4.9
156713,4.65
138529,0.25
136290,0.0
142501,2.35
38245,0.85
160002,0.0
102942,3.05
26911,0.0
110122,0.0
47610,16.25
112490,0.0
83047,0.0
93411,0.0
50690,4.45
155745,0.0
151869,2.5
70105,14.75
38786,5.75
56516,0.35
116511,2.5
69229,4.2
10929,0.0
32172,0.0
148230,0.0
112833,3.25
137435,2.05
99217,0.4
89423,0.0
113983,3.75
84206,3.5
164453,0.05
31357,0.15
143226,0.3
140217,37.0
5876,0.0
64253,0.0
49146,0.0
71406,0.0
134635,0.0
46691,0.0
96664,0.0
54473,0.0
125571,29.95
53334,2.0
124892,0.0
49008,0.1
104134,0.05
55528,2.2
48766,0.2
97100,1.85
49244,0.95
46066,0.0
132874,0.5
24818,0.0
135577,0.25
28961,0.0
20110,0.0
34739,0.75
150100,16.0
166459,0.15
28662,0.0
33129,0.0
111467,0.0
139656,0.0
83926,8.0
106680,0.0
17827,0.0
61068,0.3
64793,0.3
153649,0.0
45029,0.0
32069,0.0
58280,2.3
89234,0.0
28167,2.5
128038,1.78
105758,1.4
17316,0.0
152460,2.05
158248,0.8
91627,1.65
17264,0.75
103395,0.95
141777,0.0
131721,0.0
121753,0.0
25842,10.75
29463,0.0
67613,0.0
43407,0.25
107287,0.05
87498,6.7
147821,0.0
60112,0.0
104116,0.25
85936,0.0
168305,0.0
37511,0.0
46005,0.0
142776,0.0
158112,0.0
59605,0.0
84872,1.45
5281,0.05
107859,0.15
65302,0.1
8046,0.25
3979,0.0
75097,2.55
145239,0.35
50198,0.0
156067,5.7
81192,0.3
14215,0.0
117300,0.0
130829,0.0
70321,23.3
127058,0.0
110835,0.56
100004,0.25
101132,0.0
841,3.35
144992,0.0
103061,1.15
81147,17.7
87974,0.6
149305,1.15
116329,0.05
57261,7.75
105124,1.1
106568,2.45
83505,0.0
104422,0.0
25078,4.5
164720,0.0
148273,0.0
137965,0.0
90362,11.75
48976,0.0
132312,0.0
36089,7.35
124773,0.0
28423,0.0
64513,34.0
4370,0.0
50580,1.7
83231,0.0
32725,0.0
142828,0.0
111214,0.0
12078,0.0
9364,0.0
168441,0.2
120967,0.0
68468,0.0
167288,0.0
58628,12.5
135456,0.0
20288,0.3
25359,0.0
100514,3.0
65434,0.0
19351,11.15
159092,0.05
64129,0.0
137704,6.0
141569,7.8
59655,0.0
95123,0.0
345,0.0
161196,0.5
13500,0.3
2724,0.0
58836,0.0
91156,1.65
108400,1.9
99924,0.0
35470,0.0
116352,5.9
40481,8.3
35612,0.0
152227,0.0
129763,0.0
55783,0.55
53938,3.85
43002,0.0
13749,0.0
17548,0.0
27507,0.75
156604,0.0
35995,0.2
122911,0.4
163029,1.0
61107,6.9
110721,0.6
163992,0.0
106632,3.15
52417,0.0
143485,0.3
54784,0.0
166679,0.95
64214,4.4
164440,0.0
1081,0.25
39772,0.0
66359,0.05
142543,9.0
129359,0.0
123920,0.0
165599,0.0
3265,0.0
112582,0.0
36051,0.5
80645,16.0
165799,7.1
130465,2.8
8868,0.0
127189,0.0
6343,0.2
91216,0.85
74222,0.0
80487,0.0
11513,0.0
54609,0.0
39209,0.05
154144,0.0
148064,0.0
44058,0.55
91748,0.65
143284,0.0
770,3.35
110548,0.05
15839,0.0
44421,1.15
4814,0.0
100133,0.0
63236,4.55
150184,2.2
114320,0.0
126791,0.0
119426,10.0
